Title,Date
"A Anatomia de Grey: Temporada 1: Ganhamos a batalha, perdemos a guerra","06/07/2019"
"A Anatomia de Grey: Temporada 1: O primeiro plantão é o mais difícil","06/07/2019"
"A Anatomia de Grey: Temporada 1: Longa noite, longo dia","06/07/2019"
"A Anatomia de Grey: Temporada 9: Lembre-se do tempo","06/07/2019"
"Ozark: Temporada 2: Gold Coast","05/07/2019"
"Ozark: Temporada 2: O texugo","05/07/2019"
"Alerta Lobo","05/07/2019"
"Sherlock: Temporada 3: Seu último juramento","05/07/2019"
"Sherlock: Temporada 3: O sinal dos três","05/07/2019"
"Sherlock: Temporada 3: O caixão vazio","05/07/2019"
"Roubando Vidas","04/07/2019"
"Sherlock: Temporada 2: A queda de Reichenbach","03/07/2019"
"Sherlock: Temporada 2: Os cães de Baskerville","03/07/2019"
"Sherlock: Temporada 2: Um escândalo em Belgrávia","03/07/2019"
"Sherlock: Temporada 1: O grande jogo","02/07/2019"
"Sherlock: Temporada 1: O banqueiro cego","02/07/2019"
"Sherlock: Temporada 1: Um estudo em rosa","01/07/2019"
"Aggretsuko: Temporada 2: Vida maravilhosa","01/07/2019"
"Aggretsuko: Temporada 2: Ela sonha","01/07/2019"
"Aggretsuko: Temporada 2: Ele mora acima das nuvens","01/07/2019"
"Aggretsuko: Temporada 2: Afeição cada vez maior","01/07/2019"
"Aggretsuko: Temporada 2: Futuro desconhecido","01/07/2019"
"Aggretsuko: Temporada 2: Pela união","01/07/2019"
"Aggretsuko: Temporada 2: Impacto inevitável","01/07/2019"
"Aggretsuko: Temporada 2: Atraso duplo","01/07/2019"
"Aggretsuko: Temporada 2: O novo contratado Anai","01/07/2019"
"Aggretsuko: Temporada 2: Hora de crescer","01/07/2019"
"Monster Trucks","30/06/2019"
"The Code: Temporada 1: O número mágico","30/06/2019"
"A Garota no Trem","29/06/2019"
"Sete Anos no Tibet","29/06/2019"
"Bob Lazar: Área 51 e Discos Voadores","29/06/2019"
"Altered Carbon: Temporada 1: Os assassinos","28/06/2019"
"Altered Carbon: Temporada 1: Fúria no céu","28/06/2019"
"Altered Carbon: Temporada 1: Só a mulher peca","28/06/2019"
"Elizabeth  [1998]","27/06/2019"
"Altered Carbon: Temporada 1: O cão raivoso","24/06/2019"
"Altered Carbon: Temporada 1: O homem com meu rosto","24/06/2019"
"Altered Carbon: Temporada 1: O homem errado","24/06/2019"
"Jessabelle - O Passado Nunca Morre","22/06/2019"
"Elisa y Marcela","22/06/2019"
"Rei Arthur","22/06/2019"
"Circle","22/06/2019"
"Final Space: Temporada 1: Capítulo 3","21/06/2019"
"Final Space: Temporada 1: Capítulo 2","21/06/2019"
"Final Space: Temporada 1: Capítulo 1","21/06/2019"
"Lion - Uma jornada para casa","21/06/2019"
"Missão Impossível - Nação Secreta","20/06/2019"
"Love, Death & Robots: Volume 1: O LIXÃO","20/06/2019"
"Love, Death & Robots: Volume 1: BOA CAÇADA","20/06/2019"
"Love, Death & Robots: Volume 1: PARA ALÉM DA FENDA DE ÁQUILA","20/06/2019"
"Love, Death & Robots: Volume 1: QUANDO O IOGURTE ASSUMIU O CONTROLE","20/06/2019"
"Love, Death & Robots: Volume 1: ERA DO GELO","20/06/2019"
"Love, Death & Robots: Volume 1: HISTÓRIAS ALTERNATIVAS","20/06/2019"
"Altered Carbon: Temporada 1: Força do mal","19/06/2019"
"Altered Carbon: Temporada 1: No silêncio da noite","19/06/2019"
"Altered Carbon: Temporada 1: Anjo ou demônio","19/06/2019"
"Mistério no Mediterrâneo","18/06/2019"
"Altered Carbon: Temporada 1: Fuga do passado","18/06/2019"
"O mistério das garotas perdidas","18/06/2019"
"Uma noite com a família Blacks","16/06/2019"
"I Am Mother","16/06/2019"
"Ozark: Temporada 1: Café Amargo","16/06/2019"
"Ozark: Temporada 1: Caleidoscópio","16/06/2019"
"Ozark: Temporada 1: Casa de passarinho","16/06/2019"
"Angry Birds: O Filme","15/06/2019"
"Eu sou o número quatro","15/06/2019"
"Homem-Formiga","15/06/2019"
